column,total_rows,missing,pct_missing,numeric_count,non_numeric_non_missing,zeros_numeric,loq_like,zeros_effective,pct_zeros_effective
index,86,0,0.0,86,0,1,0,1,1.16
timestamp_iso,86,0,0.0,0,86,0,0,0,0.0
lab_acesulfame_ng_l,86,0,0.0,86,0,0,0,0,0.0
lab_caffeine_ng_l,86,0,0.0,86,0,0,0,0,0.0
lab_cyclamate_ng_l,86,0,0.0,86,0,0,0,0,0.0
lab_candesartan_ng_l,86,0,0.0,86,0,0,0,0,0.0
lab_citalopram_ng_l,86,0,0.0,64,22,0,22,22,25.58
lab_diclofenac_ng_l,86,0,0.0,86,0,0,0,0,0.0
lab_hydrochlorthiazide_ng_l,86,0,0.0,86,0,0,0,0,0.0
lab_triclosan_ng_l,86,0,0.0,24,62,0,62,62,72.09
lab_13-diphenylguanidine_ng_l,86,0,0.0,86,0,0,0,0,0.0
lab_6ppd-quinone_ng_l,86,0,0.0,61,25,0,25,25,29.07
lab_hmmm_ng_l,86,0,0.0,85,1,0,1,1,1.16
lab_24-d_ng_l,86,0,0.0,10,76,0,76,76,88.37
lab_carbendazim_ng_l,86,0,0.0,24,62,0,62,62,72.09
lab_diuron_ng_l,86,0,0.0,78,8,0,8,8,9.3
lab_mcpa_ng_l,86,0,0.0,17,69,0,69,69,80.23
lab_mecoprop_ng_l,86,0,0.0,75,11,0,11,11,12.79
lab_oit_ng_l,86,0,0.0,54,32,0,32,32,37.21
lab_4-&5-methylbenzotriazole_ng_l,86,0,0.0,86,0,0,0,0,0.0
lab_benzotriazole_ng_l,86,0,0.0,86,0,0,0,0,0.0
lab_deet_ng_l,86,0,0.0,86,0,0,0,0,0.0
sampling_method,86,0,0.0,0,86,0,0,0,0.0
